dataset,seed,model,sampler,steps,nfe,sliced_w2,wall_s
moons,2,diffusion-vp,euler,8,8,0.0889757052063942,0.053009541996289045
moons,2,diffusion-vp,euler,16,16,0.049732036888599396,0.10616870901139919
moons,2,diffusion-vp,euler,32,32,0.03602469339966774,0.21194141700107139
moons,2,diffusion-vp,euler,64,64,0.031750500202178955,0.42113254198920913
moons,2,diffusion-vp,euler,128,128,0.030894305557012558,0.8536364169995068
moons,2,diffusion-vp,heun,1,2,0.9422155618667603,0.013067041989415884
moons,2,diffusion-vp,heun,2,4,0.30000975728034973,0.02666187500290107
moons,2,diffusion-vp,heun,4,8,0.08852018415927887,0.053148624996538274
moons,2,diffusion-vp,heun,8,16,0.03884945064783096,0.10723708300793078
moons,2,diffusion-vp,heun,16,32,0.03243488818407059,0.21319970799959265
moons,2,diffusion-vp,heun,32,64,0.03139422833919525,0.43092787500063423
moons,2,diffusion-vp,heun,64,128,0.031124629080295563,0.8611076250090264
moons,2,diffusion-vp,rk4,1,4,0.14501667022705078,0.02751383300346788
moons,2,diffusion-vp,rk4,2,8,0.03182600811123848,0.05304862499178853
moons,2,diffusion-vp,rk4,4,16,0.030270200222730637,0.10834470800182316
moons,2,diffusion-vp,rk4,8,32,0.03125159442424774,0.21531949999916833
moons,2,diffusion-vp,rk4,16,64,0.03118193708360195,0.4909986669954378
moons,2,diffusion-vp,rk4,32,128,0.0310647152364254,0.9806888340099249
