dataset,seed,model,sampler,steps,nfe,sliced_w2,wall_s
8gaussians,2,2-rectified,euler,1,1,0.11210465431213379,0.007288583001354709
8gaussians,2,2-rectified,euler,2,2,0.10757682472467422,0.01384458300890401
8gaussians,2,2-rectified,euler,4,4,0.10427606105804443,0.026681624993216246
8gaussians,2,2-rectified,euler,8,8,0.10096601396799088,0.05335708300117403
8gaussians,2,2-rectified,euler,16,16,0.09971227496862411,0.10570245899725705
8gaussians,2,2-rectified,euler,32,32,0.10009387135505676,0.2124062920047436
8gaussians,2,2-rectified,euler,64,64,0.10095256567001343,0.4310091670049587
8gaussians,2,2-rectified,euler,128,128,0.10166289657354355,0.856127708000713
8gaussians,2,2-rectified,heun,1,2,0.11037836223840714,0.013119041002937593
8gaussians,2,2-rectified,heun,2,4,0.10503610968589783,0.026024749997304752
8gaussians,2,2-rectified,heun,4,8,0.1016681119799614,0.052509959001326934
8gaussians,2,2-rectified,heun,8,16,0.09914924204349518,0.10599804100638721
8gaussians,2,2-rectified,heun,16,32,0.09980213642120361,0.21299641599762253
8gaussians,2,2-rectified,heun,32,64,0.10104792565107346,0.4322290830023121
8gaussians,2,2-rectified,heun,64,128,0.10188119858503342,0.8852835830039112
8gaussians,2,2-rectified,rk4,1,4,0.10325484722852707,0.0321668749966193
8gaussians,2,2-rectified,rk4,2,8,0.10045267641544342,0.06240254099247977
8gaussians,2,2-rectified,rk4,4,16,0.09862843155860901,0.12228974999743514
8gaussians,2,2-rectified,rk4,8,32,0.10050208121538162,0.2459800000069663
8gaussians,2,2-rectified,rk4,16,64,0.1016547679901123,0.48787537500902545
8gaussians,2,2-rectified,rk4,32,128,0.10221530497074127,1.0714044999913312
8gaussians,2,diffusion-vp,euler,1,1,1.7996100187301636,0.006741999997757375
8gaussians,2,diffusion-vp,euler,2,2,0.33643200993537903,0.013597250013845041
8gaussians,2,diffusion-vp,euler,4,4,0.16846421360969543,0.02679145900765434
8gaussians,2,diffusion-vp,euler,8,8,0.1237717717885971,0.05334891700476874
8gaussians,2,diffusion-vp,euler,16,16,0.11886397004127502,0.10770987499563489
8gaussians,2,diffusion-vp,euler,32,32,0.11501801759004593,0.21249291699496098
8gaussians,2,diffusion-vp,euler,64,64,0.11628195643424988,0.4307286670082249
8gaussians,2,diffusion-vp,euler,128,128,0.11654374748468399,0.861044707999099
8gaussians,2,diffusion-vp,heun,1,2,1.7159802913665771,0.013401250005699694
8gaussians,2,diffusion-vp,heun,2,4,0.3275126516819,0.02679087499564048
8gaussians,2,diffusion-vp,heun,4,8,0.15077915787696838,0.05422812499455176
8gaussians,2,diffusion-vp,heun,8,16,0.11963123083114624,0.1081617910094792
8gaussians,2,diffusion-vp,heun,16,32,0.11953003704547882,0.2126400410052156
8gaussians,2,diffusion-vp,heun,32,64,0.11590425670146942,0.43553112499648705
8gaussians,2,diffusion-vp,heun,64,128,0.1170743927359581,0.8594463329936843
8gaussians,2,diffusion-vp,rk4,1,4,0.19473505020141602,0.02669141699152533
8gaussians,2,diffusion-vp,rk4,2,8,0.11832204461097717,0.05387824999343138
8gaussians,2,diffusion-vp,rk4,4,16,0.12040123343467712,0.10876358300447464
8gaussians,2,diffusion-vp,rk4,8,32,0.12067654728889465,0.21809054199547973
8gaussians,2,diffusion-vp,rk4,16,64,0.11494144052267075,0.43363404099363834
8gaussians,2,diffusion-vp,rk4,32,128,0.11750626564025879,0.8633991250098916
moons,0,1-rectified,euler,1,1,1.8349474668502808,0.007482665998395532
moons,0,1-rectified,euler,2,2,0.7755083441734314,0.013328125001862645
moons,0,1-rectified,euler,4,4,0.3424801826477051,0.02718762500444427
